question_id,response,count,percent
Q26,1,2,13.333333333333334
Q26,3,5,33.33333333333333
Q26,4,8,53.333333333333336
Q27,2,5,33.33333333333333
Q27,3,8,53.333333333333336
Q27,4,2,13.333333333333334
Q28,2,6,40.0
Q28,3,5,33.33333333333333
Q28,4,4,26.666666666666668
Q29,1,1,6.666666666666667
Q29,2,2,13.333333333333334
Q29,3,5,33.33333333333333
Q29,4,7,46.666666666666664
Q30,1,1,6.666666666666667
Q30,2,2,13.333333333333334
Q30,3,8,53.333333333333336
Q30,4,4,26.666666666666668
Q31,1,2,13.333333333333334
Q31,2,3,20.0
Q31,3,7,46.666666666666664
Q31,4,3,20.0
Q32,1,2,13.333333333333334
Q32,2,3,20.0
Q32,3,4,26.666666666666668
Q32,4,6,40.0
Q33,1,1,6.666666666666667
Q33,2,1,6.666666666666667
Q33,3,7,46.666666666666664
Q33,4,6,40.0
