participant_id,participant_id_raw_pre,participant_id_raw_post,study_level,study_field,tutorials_completed,Q01_PRE,Q01_POST,Q02_PRE,Q02_POST,Q03_PRE,Q03_POST,Q04_PRE,Q04_POST,Q05_PRE,Q05_POST,Q06_PRE,Q06_POST,Q07_PRE,Q07_POST,Q08_PRE,Q08_POST,Q09_PRE,Q09_POST,Q10_PRE,Q10_POST,Q11_PRE,Q11_POST,Q12_PRE,Q12_POST,Q13_PRE,Q13_POST,Q14_PRE,Q14_POST,Q15_PRE,Q15_POST,Q16_PRE,Q16_POST,Q17_PRE,Q17_POST,Q18_PRE,Q18_POST,Q19_PRE,Q19_POST,Q20_PRE,Q20_POST,Q21_PRE,Q21_POST,Q22_PRE,Q22_POST,Q23_PRE,Q23_POST,Q24_PRE,Q24_POST,Q25_PRE,Q25_POST,Q26_POST,Q27_POST,Q28_POST,Q29_POST,Q30_POST,Q31_POST,Q32_POST,Q33_POST
P00,P00,P00,Bachelor,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup",4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,2,1,3,1,2,2,3,2,2,2,3,3,3,2,2,2,2,3,4
P01,P01,P01,Master,Media Informatics,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup, Tutorial 4: Post Processing",3,4,3,4,3,3,3,3,2,4,4,4,4,4,3,3,2,3,3,4,3,3,3,4,3,4,2,3,2,4,1,3,1,2,1,3,1,2,1,2,1,3,1,4,2,4,2,3,2,3,4,3,4,4,4,3,4,3
P02,P02,P02,Master,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 4: Post Processing",3,4,2,4,3,3,3,3,3,3,4,4,2,3,3,4,3,3,3,4,3,4,3,4,3,4,2,3,2,4,3,4,1,3,1,4,1,3,1,4,1,2,1,4,3,4,2,3,2,3,4,3,3,4,3,3,3,4
P03,P03,P03,Master,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 4: Post Processing",3,4,2,3,4,4,3,3,1,1,4,4,2,3,1,2,2,3,2,2,2,3,1,3,1,2,1,3,1,4,1,3,1,2,2,4,1,2,1,3,1,2,2,3,3,3,3,4,3,3,4,3,2,4,3,3,2,3
P04,P04,P04,Master,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 4: Post Processing",3,3,1,2,2,3,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,2,3,2,3,3,3,2,3,4
P05,P05,P05,Master,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup, Tutorial 4: Post Processing",4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,2,4,3,4,1,4,2,4,1,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4
P06,P06,P06,PhD,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 4: Post Processing",4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,4,4,3,4,1,2,1,3,1,3,1,2,1,3,1,3,4,4,4,4,4,4,1,2,4,4,3,4,2,3
P07,P07,P07,Master,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 4: Post Processing",3,3,1,3,1,2,1,1,1,1,1,1,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,2,1,3,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,3,1,2,1,2,4,3,4,4,3,4,4,4
P08,P08,P08,HTL,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup, Tutorial 4: Post Processing",3,4,2,3,2,3,1,2,3,3,1,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,4,4,3,3,2,3,2,3,2,3,4,4,2,2,2,2,2,2,4,4,3,3,4,2,3,3
P09,P09,P09,HTL,Cyber Security,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup, Tutorial 4: Post Processing",3,4,2,3,4,3,3,3,1,3,1,1,1,3,2,3,2,3,1,3,1,3,2,2,2,3,1,2,1,3,1,3,4,4,1,2,1,3,1,3,1,3,1,3,2,4,1,3,1,2,3,3,3,3,3,3,4,3
P10,P10,P10,Master,Medical Computer Science,"Tutorial 1: Unlit Shader, Tutorial 4: Post Processing",4,3,1,4,3,2,1,1,1,1,1,2,1,3,1,4,1,2,1,2,1,2,2,3,2,2,1,2,1,3,1,1,1,2,1,3,1,2,1,2,1,3,1,3,1,2,2,1,1,2,4,3,2,3,3,3,2,3
P11,P11,P11,Autodidactic Learning,Computer Science,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup, Tutorial 4: Post Processing",3,4,3,4,4,4,2,2,1,4,4,4,3,4,3,3,2,3,2,3,2,4,2,4,2,3,1,4,3,4,3,3,2,3,1,4,1,4,1,3,1,3,3,4,3,4,2,3,2,2,4,3,2,4,4,3,4,4
P12,P12,P12,Master,Media Informatics,"Tutorial 1: Unlit Shader, Tutorial 4: Post Processing",3,3,3,3,3,3,3,3,1,1,3,3,3,4,2,4,2,4,2,4,2,3,2,3,2,3,1,3,1,3,1,3,1,1,1,3,1,2,1,2,1,1,1,1,2,2,2,2,2,2,3,2,2,3,2,1,1,3
