participant_id,timepoint,topics,response
P00,PRE,general,4
P00,POST,general,3
P00,PRE,general,3
P00,POST,general,3
P00,PRE,general,4
P00,POST,general,3
P00,PRE,general,3
P00,POST,general,3
P00,PRE,general,3
P00,POST,general,3
P00,PRE,shader_programming,3
P00,POST,shader_programming,3
P00,PRE,shader_programming,3
P00,POST,shader_programming,3
P00,PRE,shader_programming,2
P00,POST,shader_programming,3
P00,PRE,shader_programming,3
P00,POST,shader_programming,3
P00,PRE,shader_programming,3
P00,POST,shader_programming,3
P00,PRE,modern_gpu_api_concepts,1
P00,POST,modern_gpu_api_concepts,2
P00,PRE,modern_gpu_api_concepts,1
P00,POST,modern_gpu_api_concepts,3
P00,PRE,modern_gpu_api_concepts,1
P00,POST,modern_gpu_api_concepts,2
P00,PRE,modern_gpu_api_concepts,1
P00,POST,modern_gpu_api_concepts,3
P00,PRE,modern_gpu_api_concepts,1
P00,POST,modern_gpu_api_concepts,2
P00,PRE,modern_gpu_api_concepts,1
P00,POST,modern_gpu_api_concepts,3
P00,PRE,webgpu_specifics,1
P00,POST,webgpu_specifics,2
P00,PRE,webgpu_specifics,1
P00,POST,webgpu_specifics,3
P00,PRE,webgpu_specifics,1
P00,POST,webgpu_specifics,2
P00,PRE,webgpu_specifics,1
P00,POST,webgpu_specifics,2
P00,PRE,webgpu_specifics,1
P00,POST,webgpu_specifics,3
P00,PRE,webgpu_specifics,1
P00,POST,webgpu_specifics,2
P00,PRE,confidence,2
P00,POST,confidence,3
P00,PRE,confidence,2
P00,POST,confidence,2
P00,PRE,confidence,2
P00,POST,confidence,3
P01,PRE,general,3
P01,POST,general,4
P01,PRE,general,3
P01,POST,general,4
P01,PRE,general,3
P01,POST,general,3
P01,PRE,general,3
P01,POST,general,3
P01,PRE,general,2
P01,POST,general,4
P01,PRE,shader_programming,4
P01,POST,shader_programming,4
P01,PRE,shader_programming,4
P01,POST,shader_programming,4
P01,PRE,shader_programming,3
P01,POST,shader_programming,3
P01,PRE,shader_programming,2
P01,POST,shader_programming,3
P01,PRE,shader_programming,3
P01,POST,shader_programming,4
P01,PRE,modern_gpu_api_concepts,3
P01,POST,modern_gpu_api_concepts,3
P01,PRE,modern_gpu_api_concepts,3
P01,POST,modern_gpu_api_concepts,4
P01,PRE,modern_gpu_api_concepts,3
P01,POST,modern_gpu_api_concepts,4
P01,PRE,modern_gpu_api_concepts,2
P01,POST,modern_gpu_api_concepts,3
P01,PRE,modern_gpu_api_concepts,2
P01,POST,modern_gpu_api_concepts,4
P01,PRE,modern_gpu_api_concepts,1
P01,POST,modern_gpu_api_concepts,3
P01,PRE,webgpu_specifics,1
P01,POST,webgpu_specifics,2
P01,PRE,webgpu_specifics,1
P01,POST,webgpu_specifics,3
P01,PRE,webgpu_specifics,1
P01,POST,webgpu_specifics,2
P01,PRE,webgpu_specifics,1
P01,POST,webgpu_specifics,2
P01,PRE,webgpu_specifics,1
P01,POST,webgpu_specifics,3
P01,PRE,webgpu_specifics,1
P01,POST,webgpu_specifics,4
P01,PRE,confidence,2
P01,POST,confidence,4
P01,PRE,confidence,2
P01,POST,confidence,3
P01,PRE,confidence,2
P01,POST,confidence,3
P02,PRE,general,3
P02,POST,general,4
P02,PRE,general,2
P02,POST,general,4
P02,PRE,general,3
P02,POST,general,3
P02,PRE,general,3
P02,POST,general,3
P02,PRE,general,3
P02,POST,general,3
P02,PRE,shader_programming,4
P02,POST,shader_programming,4
